STPUMA	SERIALNO	SPORDER	ADJINC	PWGTP	SEX	RACE	AGE	COW	JWMNP	JWRIP	JWTR	MAR	REL	RETP	SCH	SCHG	SCHL	WAGP	WKHP	WKL	ESR	HISP	INDP	JWAP	JWDP	MSP	PAOC	OCCP	PINCP	POVPIP	POWPUMA	TYPE	IN_CMA
1703102	9170587206	2	999480	53	1	1	28	1	0	0	11	1	1	0	1	0	13	68000	45	1	1	1	7580	0	0	1	0	430	68000	501	3100	1	1
1703102	9170594434	1	999480	36	2	2	41	1	5	1	1	3	0	0	1	0	9	18000	37	1	1	1	8270	176	107	4	2	3600	20700	117	3100	1	1
1703102	9170594434	2	999480	47	1	2	23	1	0	0	0	5	2	0	1	0	9	0	0	2	3	1	8680	0	0	6	0	4220	7300	117	0	1	1
1703102	9170594434	3	999480	47	1	2	22	1	0	0	0	5	2	0	1	0	6	0	0	2	3	1	8680	0	0	6	0	4020	0	117	0	1	1
1703102	9170594434	4	999480	43	2	2	19	9	0	0	0	5	2	0	1	0	9	0	0	3	3	1	9920	0	0	6	1	9920	7300	117	0	1	1
1703102	9170594434	5	999480	45	2	2	10	0	0	0	0	5	2	0	2	4	2	0	0	0	0	1	0	0	0	0	0	0	0	117	0	1	1
1703102	9170594434	6	999480	39	1	2	5	0	0	0	0	5	5	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	117	0	1	1
1703102	9170595549	1	999480	32	1	8	38	1	0	0	0	1	0	0	1	0	13	100000	70	1	2	2	4380	0	0	1	0	4850	100000	389	0	1	1
1703102	9170595549	2	999480	33	2	1	37	1	0	0	0	1	1	0	1	0	13	0	0	2	6	1	6970	0	0	1	3	5400	0	389	0	1	1
1703102	9170595549	3	999480	36	1	8	7	0	0	0	0	5	2	0	2	3	2	0	0	0	0	2	0	0	0	0	0	0	0	389	0	1	1
1703102	9170595549	4	999480	38	2	8	5	0	0	0	0	5	2	0	2	2	2	0	0	0	0	2	0	0	0	0	0	0	0	389	0	1	1
1703102	9170595549	5	999480	28	1	8	2	0	0	0	0	5	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	389	0	1	1
1703102	9170596346	1	999480	21	2	2	17	0	0	0	0	5	0	0	2	5	6	0	0	3	6	1	0	0	0	6	1	0	0	0	0	1	1
1703102	9170596346	2	999480	30	2	2	2	0	0	0	0	5	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
1703102	9170596346	3	999480	29	1	2	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
1703102	9170596362	1	999480	30	2	1	25	1	10	1	1	5	0	0	1	0	10	16000	30	1	1	1	7690	91	50	6	4	4230	17000	151	3100	1	1
1703102	9170596362	2	999480	54	1	1	29	1	45	1	1	5	9	0	1	0	6	40000	45	1	1	1	3080	79	31	6	0	8810	40000	357	3100	1	1
1703102	9170598942	1	999480	30	1	1	47	1	60	0	5	1	0	0	1	0	13	98000	40	1	1	1	7380	82	31	1	0	1010	98004	501	3500	1	1
1703102	9170598942	2	999480	31	2	1	45	1	0	0	0	1	1	0	1	0	10	0	0	2	6	1	8270	0	0	1	4	4230	0	501	0	1	1
1703102	9170599289	1	999480	39	2	2	53	3	0	0	0	1	0	50000	1	0	11	0	0	2	6	1	9470	0	0	1	4	3700	50000	395	0	1	1
1703102	9170599289	2	999480	49	1	2	75	0	0	0	0	1	1	4000	1	0	7	0	0	3	6	1	0	0	0	1	0	0	6600	395	0	1	1
1703102	9170601356	1	999480	81	1	1	20	5	20	1	1	5	0	0	2	6	11	41000	40	1	1	1	7460	104	61	6	0	1100	41000	366	3200	1	1
1703102	9170601356	2	999480	176	2	1	20	2	25	1	1	5	9	0	2	6	11	15000	40	1	1	1	8590	105	61	6	4	3950	15000	134	3100	1	1
